Rank,Name,Team,Age,Pos,Pos_Rnk,Rook_Rnk
1,Justin Jefferson,MIN,24.2,WR,WR-1,
2,Ja'Marr Chase,CIN,23.5,WR,WR-2,
3,A.J. Brown,PHI,26.1,WR,WR-3,
4,Garrett Wilson,NYJ,23.1,WR,WR-4,
5,CeeDee Lamb,DAL,24.4,WR,WR-5,
6,Jaylen Waddle,MIA,24.7,WR,WR-6,
7,Bijan Robinson,ATL,21.5,RB,RB-1,1
8,Chris Olave,NO,23.1,WR,WR-7,
9,Breece Hall,NYJ,22.2,RB,RB-2,
10,Amon-Ra St. Brown,DET,23.8,WR,WR-8,
11,Tyreek Hill,MIA,29.5,WR,WR-9,
12,Jonathan Taylor,IND,24.6,RB,RB-3,
13,Jahmyr Gibbs,DET,21.4,RB,RB-4,2
14,Tee Higgins,CIN,24.6,WR,WR-10,
15,DeVonta Smith,PHI,24.8,WR,WR-12,
16,Christian McCaffrey,SF,27.2,RB,RB-5,
17,Cooper Kupp,LAR,30.2,WR,WR-11,
18,Stefon Diggs,BUF,29.7,WR,WR-14,
19,Saquon Barkley,NYG,26.5,RB,RB-6,
20,Mark Andrews,BAL,28.0,TE,TE-1,
21,Patrick Mahomes,KC,27.9,QB,QB-1,
22,DK Metcalf,SEA,25.7,WR,WR-13,
23,Josh Allen,BUF,27.2,QB,QB-2,
24,Jaxon Smith-Njigba,SEA,21.5,WR,WR-15,3
25,Jalen Hurts,PHI,25.0,QB,QB-3,
26,Drake London,ATL,22.1,WR,WR-16,
27,Davante Adams,LV,30.7,WR,WR-17,
28,Josh Jacobs,LV,25.5,RB,RB-7,
29,Joe Burrow,CIN,26.7,QB,QB-4,
30,Travis Etienne Jr.,JAX,24.6,RB,RB-8,
31,Kenneth Walker III,SEA,22.8,RB,RB-10,
32,Kyle Pitts,ATL,22.9,TE,TE-2,
33,Tony Pollard,DAL,26.3,RB,RB-11,
34,Jordan Addison,MIN,21.6,WR,WR-18,4
35,Rhamondre Stevenson,NE,25.5,RB,RB-9,
36,Lamar Jackson,BAL,26.6,QB,QB-5,
37,Quentin Johnston,LAC,21.9,WR,WR-20,5
38,Austin Ekeler,LAC,28.3,RB,RB-13,
39,Travis Kelce,KC,33.9,TE,TE-3,
40,Justin Herbert,LAC,25.4,QB,QB-6,
41,DJ Moore,CHI,26.3,WR,WR-19,
42,Najee Harris,PIT,25.4,RB,RB-12,
43,Nick Chubb,CLE,27.6,RB,RB-14,
44,Chris Godwin,TB,27.5,WR,WR-21,
45,Deebo Samuel,SF,27.6,WR,WR-23,
46,Marquise Brown,ARI,26.2,WR,WR-22,
47,Zay Flowers,BAL,22.9,WR,WR-27,6
48,Christian Watson,GB,24.3,WR,WR-25,
49,Michael Pittman Jr.,IND,25.9,WR,WR-24,
50,J.K. Dobbins,BAL,24.7,RB,RB-16,
51,Jahan Dotson,WAS,23.4,WR,WR-26,
52,Trevor Lawrence,JAX,23.9,QB,QB-7,
53,Brandon Aiyuk,SF,25.4,WR,WR-29,
54,Miles Sanders,CAR,26.3,RB,RB-15,
55,Treylon Burks,TEN,23.4,WR,WR-28,
56,Justin Fields,CHI,24.5,QB,QB-8,
57,Javonte Williams,DEN,23.3,RB,RB-17,
58,Jerry Jeudy,DEN,24.3,WR,WR-30,
59,T.J. Hockenson,MIN,26.1,TE,TE-4,
60,Terry McLaurin,WAS,27.9,WR,WR-31,
61,Kyler Murray,ARI,26.0,QB,QB-9,
62,Dameon Pierce,HOU,23.5,RB,RB-18,
63,Derrick Henry,TEN,29.6,RB,RB-19,
64,Dallas Goedert,PHI,28.6,TE,TE-5,
65,Joe Mixon,CIN,27.1,RB,RB-21,
66,Zach Charbonnet,SEA,22.6,RB,RB-20,7
67,Rachaad White,TB,24.6,RB,RB-22,
68,George Pickens,PIT,22.5,WR,WR-32,
69,Christian Kirk,JAX,26.8,WR,WR-34,
