"Rank","Name","Team","Andy","Jason","Mike","Age"
"1","Patrick Mahomes","KC","2","1","1","27.9"
"2","Josh Allen","BUF","1","3","2","27.2"
"3","Jalen Hurts","PHI","4","2","3","25"
"4","Joe Burrow","CIN","3","4","4","26.7"
"5","Lamar Jackson","BAL","6","5","5","26.6"
"6","Justin Herbert","LAC","5","6","6","25.4"
"7","Trevor Lawrence","JAX","7","7","8","23.9"
"8","Justin Fields","CHI","8","9","7","24.5"
"9","Kyler Murray","ARI","9","8","9","26"
"10","Anthony Richardson","IND","14","10","10","22.2"
"11","Dak Prescott","DAL","10","14","11","30.1"
"12","Deshaun Watson","CLE","11","15","12","27.9"
"13","Bryce Young","CAR","13","11","15","22.1"
"14","Tua Tagovailoa","MIA","12","13","14","25.5"
"15","C.J. Stroud","HOU","15","12","13","21.9"
"16","Daniel Jones","NYG","17","16","16","26.2"
"17","Geno Smith","SEA","19","19","18","32.9"
"18","Kirk Cousins","MIN","20","18","19","35"
"19","Jordan Love","GB","21","23","20","24.8"
"20","Brock Purdy","SF","28","20","17","23.6"
"21","Kenny Pickett","PIT","23","21","23","25.2"
"22","Aaron Rodgers","NYJ","18","24","27","39.7"
"23","Hendon Hooker","DET","16","22","32","25.6"
"24","Russell Wilson","DEN","22","25","25","34.7"
"25","Derek Carr","NO","24","26","24","32.4"
"26","Jared Goff","DET","26","28","21","28.9"
"27","Will Levis","TEN","33","17","26","24.1"
"28","Mac Jones","NE","25","27","28","25"
"29","Matthew Stafford","LAR","27","29","29","35.5"
"30","Jimmy Garoppolo","LV","30","32","30","31.8"
"31","Trey Lance","SF","37","33","22","23.3"
"32","Ryan Tannehill","TEN","32","30","31","35.1"
"33","Sam Howell","WAS","31","31","34","22.9"
"34","Desmond Ridder","ATL","29","34","33","24"
"35","Baker Mayfield","TB","34","35","35","28.4"
"36","Zach Wilson","NYJ","35","36","36","24"
"37","Sam Darnold","SF","36","37","37","26.2"
"38","Jacoby Brissett","WAS","39","39","38","30.7"
"39","Bailey Zappe","NE","38","41","39","24.3"
"40","Gardner Minshew","IND","40","42","40","27.3"
"41","Kyle Trask","TB","41","43","41","25.5"
"42","Taylor Heinicke","ATL","44","38","44","30.4"
"43","Malik Willis","TEN","42","44","42","24.2"
"44","Jameis Winston","NO","43","45","43","29.6"
"45","Mike White","MIA","45","47","45","28.4"
"46","Stetson Bennett","LAR","52","40","48","25.8"
"47","Clayton Tune","ARI","51","46","47","24.4"
"48","Jake Haener","NO","50","48","46","24.4"
"49","Tyler Huntley","BAL","46","49","49","25.5"
"50","Marcus Mariota","PHI","47","50","50","29.8"
"51","Carson Wentz","","49","51","51","30.6"
"52","Davis Mills","HOU","48","52","52","24.8"
