"Rank","Name","Team","Andy","Jason","Mike","Age"
"1","Bijan Robinson","ATL","1","1","1","21.5"
"2","Breece Hall","NYJ","2","2","2","22.2"
"3","Jonathan Taylor","IND","4","3","3","24.6"
"4","Jahmyr Gibbs","DET","3","4","5","21.4"
"5","Christian McCaffrey","SF","5","5","4","27.2"
"6","Saquon Barkley","NYG","6","6","6","26.5"
"7","Josh Jacobs","LV","8","7","9","25.5"
"8","Travis Etienne Jr.","JAX","7","9","10","24.6"
"9","Rhamondre Stevenson","NE","13","10","8","25.5"
"10","Kenneth Walker III","SEA","12","12","7","22.8"
"11","Tony Pollard","DAL","10","11","11","26.3"
"12","Najee Harris","PIT","16","8","13","25.4"
"13","Austin Ekeler","LAC","9","13","16","28.3"
"14","Nick Chubb","CLE","11","16","12","27.6"
"15","Miles Sanders","CAR","15","14","18","26.3"
"16","J.K. Dobbins","BAL","19","15","15","24.7"
"17","Javonte Williams","DEN","18","17","14","23.3"
"18","Dameon Pierce","HOU","21","18","19","23.5"
"19","Derrick Henry","TEN","17","20","21","29.6"
"20","Zach Charbonnet","SEA","14","19","27","22.6"
"21","Joe Mixon","CIN","20","25","17","27.1"
"22","Rachaad White","TB","25","22","20","24.6"
"23","Aaron Jones","GB","23","28","22","28.7"
"24","De'Von Achane","MIA","22","23","33","21.8"
"25","Cam Akers","LAR","29","26","24","24.2"
"26","Kendre Miller","NO","31","21","29","21.2"
"27","David Montgomery","DET","28","27","26","26.2"
"28","D'Andre Swift","PHI","24","30","30","24.6"
"29","Alvin Kamara","NO","27","29","34","28.1"
"30","James Cook","BUF","26","33","31","23.9"
"31","Alexander Mattison","MIN","35","34","23","25.2"
"32","AJ Dillon","GB","30","37","28","25.3"
"33","Isiah Pacheco","KC","32","32","32","24.5"
"34","Dalvin Cook","","34","42","25","28"
"35","Tyjae Spears","TEN","39","24","47","22.9"
"36","Khalil Herbert","CHI","36","38","36","25.3"
"37","James Conner","ARI","33","39","39","28.3"
"38","Brian Robinson","WAS","42","36","35","24.4"
"39","Damien Harris","BUF","40","40","37","26.5"
"40","Antonio Gibson","WAS","41","41","38","25.2"
"41","Tank Bigsby","JAX","44","31","46","22"
"42","Jamaal Williams","NO","38","44","40","28.4"
"43","Devin Singletary","HOU","49","35","41","26"
"44","Roschon Johnson","CHI","37","49","45","22.5"
"45","Elijah Mitchell","SF","43","47","42","25.3"
"46","Rashaad Penny","PHI","45","46","44","27.5"
"47","Tyler Allgeier","ATL","51","45","43","23.3"
"48","Kenneth Gainwell","PHI","48","53","48","24.4"
"49","Jaylen Warren","PIT","56","43","51","24.8"
"50","Ezekiel Elliott","","53","48","49","28.1"
"51","Samaje Perine","DEN","47","55","50","27.9"
"52","Chase Brown","CIN","50","50","56","23.4"
"53","D'Onta Foreman","CHI","54","51","53","27.3"
"54","Clyde Edwards-Helaire","KC","55","52","52","24.4"
"55","Israel Abanikanda","NYJ","46","56","58","20.9"
"56","Jeff Wilson Jr.","MIA","52","64","57","27.8"
"57","Zach Evans","LAR","64","57","60","22.2"
"58","Jerome Ford","CLE","60","59","64","23.9"
"59","Kareem Hunt","","72","60","54","28"
"60","Michael Carter","NYJ","62","65","59","24.3"
"61","Chuba Hubbard","CAR","58","68","62","24.2"
"62","Raheem Mostert","MIA","61","67","61","31.4"
"63","Evan Hull","IND","66","61","67","22.8"
"64","Zamir White","LV","59","70","65","23.9"
"65","Leonard Fournette","","65","77","55","28.6"
"66","Jerick McKinnon","KC","67","69","63","31.3"
"67","Gus Edwards","BAL","63","72","66","28.4"
"68","Deuce Vaughn","DAL","74","54","75","21.8"
"69","Pierre Strong Jr.","NE","57","78","69","24.7"
"70","Cordarrelle Patterson","ATL","68","71","68","32.4"
"71","Eric Gray","NYG","73","58","77","23.8"
"72","DeWayne McBride","MIN","70","66","74","22.1"
"73","James Robinson","NYG","77","63","76","25"
"74","Isaiah Spiller","LAC","69","79","70","22"
"75","Sean Tucker","TB","76","73","72","21.8"
"76","Zonovan Knight","NYJ","71","80","73","22.4"
"77","Kyren Williams","LAR","75","81","71","23"
"78","Joshua Kelley","LAC","78","82","78","25.7"
"79","D'Ernest Johnson","JAX","79","83","79","27.5"
"80","Chris Rodriguez Jr.","WAS","88","62","92","22.9"
"81","Chase Edmonds","TB","80","84","80","27.4"
"82","Kenny McIntosh","SEA","85","74","86","23.5"
"83","Tyrion Davis-Price","SF","81","85","81","22.8"
"84","Keaontay Ingram","ARI","83","87","83","23.8"
"85","Deon Jackson","IND","84","88","84","24.5"
"86","Hassan Haskins","TEN","86","89","85","23.7"
"87","Mohamed Ibrahim","DET","91","75","96","24.9"
"88","Zack Moss","IND","87","90","87","25.7"
"89","Kevin Harris","NE","89","92","89","22.8"
"90","Ronald Jones","DAL","90","93","90","26"
"91","Lew Nichols","GB","95","76","105","22"
"92","JaMycal Hasty","JAX","93","95","91","26.9"
"93","Ty Chandler","MIN","82","104","93","25.3"
"94","Chris Evans","CIN","92","94","94","25.9"
"95","Eno Benjamin","NO","94","96","95","24.4"
"96","Darrell Henderson Jr.","","96","97","97","26"
"97","Kenyan Drake","IND","98","99","99","29.6"
"98","Boston Scott","PHI","99","100","100","28.3"
"99","Latavius Murray","BUF","100","101","101","33.6"
"100","Melvin Gordon III","BAL","97","98","108","30.4"
"101","Nyheim Hines","BUF","137","86","82","26.8"
