"Rank","Name","Team","Andy","Jason","Mike","Age"
"1","Mark Andrews","BAL","1","1","1","28"
"2","Kyle Pitts","ATL","2","3","2","22.9"
"3","Travis Kelce","KC","3","4","3","33.9"
"4","T.J. Hockenson","MIN","5","2","5","26.1"
"5","Dallas Goedert","PHI","6","5","4","28.6"
"6","Pat Freiermuth","PIT","7","7","6","24.8"
"7","George Kittle","SF","9","6","7","29.9"
"8","Dalton Kincaid","BUF","4","10","8","23.8"
"9","Darren Waller","NYG","12","9","9","30.9"
"10","Evan Engram","JAX","10","11","10","29"
"11","David Njoku","CLE","11","8","13","27.1"
"12","Sam LaPorta","DET","8","15","17","22.6"
"13","Greg Dulcich","DEN","14","16","12","23.4"
"14","Chigoziem Okonkwo","TEN","15","13","15","23.9"
"15","Michael Mayer","LV","16","14","14","22.1"
"16","Trey McBride","ARI","17","12","16","23.7"
"17","Cole Kmet","CHI","13","22","11","24.4"
"18","Dalton Schultz","HOU","19","17","22","27.1"
"19","Luke Musgrave","GB","18","21","24","23"
"20","Juwan Johnson","NO","29","19","18","26.9"
"21","Isaiah Likely","BAL","26","24","21","23.3"
"22","Noah Fant","SEA","20","26","25","25.7"
"23","Irv Smith Jr.","CIN","32","20","20","25"
"24","Dawson Knox","BUF","21","28","23","26.8"
"25","Luke Schoonmaker","DAL","37","18","19","24.9"
"26","Jelani Woods","IND","27","27","26","24.9"
"27","Mike Gesicki","NE","24","30","27","27.9"
"28","Cade Otton","TB","22","34","30","24.3"
"29","Gerald Everett","LAC","28","31","28","29.2"
"30","Hunter Henry","NE","23","36","32","28.7"
"31","Tyler Higbee","LAR","31","33","29","30.6"
"32","Tucker Kraft","GB","36","25","34","22.8"
"33","Hayden Hurst","CAR","33","32","31","30"
"34","Zach Ertz","ARI","25","35","37","32.8"
"35","Jake Ferguson","DAL","39","23","38","24.6"
"36","Darnell Washington","PIT","30","38","35","22"
"37","Daniel Bellinger","NYG","35","37","33","22.9"
"38","Brenton Strange","JAX","34","29","43","22.6"
"39","Tyler Conklin","NYJ","38","39","36","28.1"
"40","Taysom Hill","NO","40","41","39","33"
"41","Logan Thomas","WAS","41","42","40","32.1"
"42","Albert Okwuegbunam","DEN","42","43","41","25.3"
"43","Robert Tonyan","CHI","43","44","42","29.3"
"44","Austin Hooper","LV","44","45","44","28.8"
"45","Brevin Jordan","HOU","45","46","45","23.1"
"46","Harrison Bryant","CLE","46","47","46","25.3"
"47","Elijah Higgins","MIA","50","40","51","22.8"
"48","Zack Kuntz","NYJ","47","48","49","24.2"
"49","Jonnu Smith","ATL","48","49","47","28"
"50","Kylen Granson","IND","49","50","48","25.4"
"51","Noah Gray","KC","51","51","50","24.3"
"52","Will Dissly","SEA","53","52","52","27.1"
"53","Adam Trautman","DEN","54","53","53","26.5"
"54","Cameron Latu","SF","52","54","57","23.5"
"55","Jeremy Ruckert","NYJ","55","55","54","23"
"56","Tommy Tremble","CAR","56","56","55","23.2"
"57","C.J. Uzomah","NYJ","57","57","56","30.6"
"58","Donald Parham Jr.","LAC","59","58","58","26"
"59","Will Mallory","IND","58","59","59","24.2"
"60","Peyton Hendershot","DAL","60","60","60","24.3"
"61","Josh Oliver","MIN","61","61","61","26.4"
"62","Foster Moreau","NO","62","62","64","26.3"
"63","Hunter Long","LAR","63","63","62","25"
"64","Charlie Kolar","BAL","64","64","63","24.5"
"65","Durham Smythe","MIA","65","65","65","28"
"66","James Mitchell","DET","66","66","66","23"
"67","O.J. Howard","","67","67","67","28.8"
"68","Mo Alie-Cox","IND","68","68","68","29.9"
"69","Payne Durham","TB","69","69","69","23.2"
"70","Davis Allen","LAR","70","70","70","22.5"
"71","Grant Calcaterra","PHI","71","71","71","24.7"
"72","Jordan Akins","CLE","72","72","72","31.3"
"73","Tre' McKitty","LAC","73","73","73","24.6"
"74","Ian Thomas","CAR","74","74","74","27.2"
