"Rank","Name","Team","Andy","Jason","Mike","Age"
"1","Justin Jefferson","MIN","1","1","1","24.2"
"2","Ja'Marr Chase","CIN","2","2","2","23.5"
"3","A.J. Brown","PHI","4","3","3","26.1"
"4","Garrett Wilson","NYJ","3","4","4","23.1"
"5","CeeDee Lamb","DAL","5","5","6","24.4"
"6","Jaylen Waddle","MIA","6","6","5","24.7"
"7","Chris Olave","NO","8","8","7","23.1"
"8","Amon-Ra St. Brown","DET","9","7","9","23.8"
"9","Tyreek Hill","MIA","7","13","8","29.5"
"10","Tee Higgins","CIN","13","10","11","24.6"
"11","Cooper Kupp","LAR","10","12","13","30.2"
"12","DeVonta Smith","PHI","15","9","12","24.8"
"13","DK Metcalf","SEA","12","11","14","25.7"
"14","Stefon Diggs","BUF","17","14","10","29.7"
"15","Jaxon Smith-Njigba","SEA","11","15","17","21.5"
"16","Drake London","ATL","18","16","15","22.1"
"17","Davante Adams","LV","20","17","16","30.7"
"18","Jordan Addison","MIN","16","19","28","21.6"
"19","DJ Moore","CHI","22","24","18","26.3"
"20","Quentin Johnston","LAC","14","20","31","21.9"
"21","Chris Godwin","TB","23","23","20","27.5"
"22","Marquise Brown","ARI","25","22","24","26.2"
"23","Deebo Samuel","SF","21","29","21","27.6"
"24","Michael Pittman Jr.","IND","24","30","19","25.9"
"25","Christian Watson","GB","31","18","27","24.3"
"26","Jahan Dotson","WAS","29","25","22","23.4"
"27","Zay Flowers","BAL","19","28","29","22.9"
"28","Treylon Burks","TEN","27","21","30","23.4"
"29","Brandon Aiyuk","SF","26","27","26","25.4"
"30","Jerry Jeudy","DEN","32","26","23","24.3"
"31","Terry McLaurin","WAS","28","32","25","27.9"
"32","George Pickens","PIT","33","34","34","22.5"
"33","Jameson Williams","DET","38","33","33","22.4"
"34","Christian Kirk","JAX","34","36","36","26.8"
"35","Rashod Bateman","BAL","37","38","35","23.7"
"36","Amari Cooper","CLE","36","37","38","29.2"
"37","Calvin Ridley","JAX","30","46","37","28.7"
"38","Diontae Johnson","PIT","35","49","32","27.1"
"39","Mike Evans","TB","39","42","39","30"
"40","Rashee Rice","KC","46","31","47","23.3"
"41","Marvin Mims Jr.","DEN","40","39","46","21.4"
"42","Mike Williams","LAC","41","41","44","28.9"
"43","DeAndre Hopkins","TEN","47","40","40","31.2"
"44","Keenan Allen","LAC","44","43","42","31.3"
"45","Jonathan Mingo","CAR","55","35","41","22.3"
"46","Tyler Lockett","SEA","48","44","43","30.9"
"47","Kadarius Toney","KC","49","47","48","24.6"
"48","Gabe Davis","BUF","53","48","45","24.4"
"49","JuJu Smith-Schuster","NE","42","52","52","26.7"
"50","Elijah Moore","CLE","43","60","50","23.3"
"51","Jayden Reed","GB","57","45","55","23.3"
"52","Jakobi Meyers","LV","59","53","49","26.8"
"53","Brandin Cooks","DAL","52","58","51","29.9"
"54","Courtland Sutton","DEN","45","63","53","27.9"
"55","Wan'Dale Robinson","NYG","51","61","56","22.6"
"56","Darnell Mooney","CHI","64","51","54","25.8"
"57","Cedric Tillman","CLE","58","55","58","23.3"
"58","Tank Dell","HOU","61","57","57","23.8"
"59","Josh Downs","IND","50","65","60","22"
"60","Alec Pierce","IND","63","54","65","23.3"
"61","Rondale Moore","ARI","56","67","59","23.2"
"62","Jalin Hyatt","NYG","65","50","73","21.9"
"63","Skyy Moore","KC","66","64","62","22.9"
"64","Romeo Doubs","GB","68","62","63","23.3"
"65","Nico Collins","HOU","69","66","61","24.4"
"66","Michael Thomas","NO","60","73","68","30.5"
"67","John Metchie III","HOU","76","59","69","23.1"
"68","Chase Claypool","CHI","54","86","66","25.1"
"69","Michael Gallup","DAL","62","78","71","27.5"
"70","Donovan Peoples-Jones","CLE","74","72","67","24.5"
"71","Allen Lazard","NYJ","79","75","64","27.7"
"72","Tyler Boyd","CIN","70","76","72","28.8"
"73","Michael Wilson","ARI","81","56","88","23.5"
"74","Curtis Samuel","WAS","71","81","75","27"
"75","Joshua Palmer","LAC","73","83","76","23.9"
"76","Tyquan Thornton","NE","67","85","81","23"
"77","Odell Beckham Jr.","BAL","91","74","70","30.8"
"78","Zay Jones","JAX","84","79","74","28.4"
"79","DJ Chark Jr.","CAR","72","89","77","26.9"
"80","Hunter Renfrow","LV","75","91","78","27.7"
"81","Khalil Shakir","BUF","82","87","79","23.5"
"82","Tyler Scott","CHI","99","77","82","21.9"
"83","Isaiah Hodgins","NYG","86","92","80","24.8"
"84","Adam Thielen","CAR","80","95","84","33"
"85","Terrace Marshall Jr.","CAR","78","96","85","23.2"
"86","K.J. Osborn","MIN","83","97","83","26.2"
"87","Rashid Shaheed","NO","90","90","87","25"
"88","Charlie Jones","CIN","111","71","86","24.8"
"89","Corey Davis","NYJ","85","94","89","28.6"
"90","Puka Nacua","LAR","102","70","101","22.2"
