ADP_Rank,Name,Team,Age,Pos,ADP_Pos_Rnk,Rook_Rnk
1,Justin Jefferson,MIN,24.2,WR,WR-1,
2,Ja'Marr Chase,CIN,23.5,WR,WR-2,
3,Bijan Robinson,ATL,21.5,RB,RB-1,1.0
4,Christian McCaffrey,SF,27.2,RB,RB-2,
5,Patrick Mahomes,KC,27.9,QB,QB-1,
6,CeeDee Lamb,DAL,24.4,WR,WR-3,
7,A.J. Brown,PHI,26.1,WR,WR-4,
8,Jonathan Taylor,IND,24.6,RB,RB-3,
9,Breece Hall,NYJ,22.2,RB,RB-4,
10,Josh Allen,BUF,27.2,QB,QB-2,
11,Garrett Wilson,NYJ,23.1,WR,WR-5,
12,Jalen Hurts,PHI,25.0,QB,QB-3,
13,Austin Ekeler,LAC,28.3,RB,RB-5,
14,Tyreek Hill,MIA,29.5,WR,WR-6,
15,Jaylen Waddle,MIA,24.7,WR,WR-7,
16,Amon-Ra St. Brown,DET,23.8,WR,WR-8,
17,Saquon Barkley,NYG,26.5,RB,RB-6,
18,Travis Kelce,KC,33.9,TE,TE-1,
19,Cooper Kupp,LA,30.2,WR,WR-9,
20,Joe Burrow,CIN,26.7,QB,QB-4,
21,Stefon Diggs,BUF,29.7,WR,WR-10,
22,Jahmyr Gibbs,DET,21.4,RB,RB-7,2.0
23,Chris Olave,NO,23.1,WR,WR-11,
24,Josh Jacobs,LV,25.5,RB,RB-8,
25,Tee Higgins,CIN,24.6,WR,WR-12,
26,Najee Harris,PIT,25.4,RB,RB-9,
26,Travis Etienne,JAC,,RB,RB-9,
28,Davante Adams,LV,30.7,WR,WR-13,
29,DeVonta Smith,PHI,24.8,WR,WR-14,
30,Nick Chubb,CLE,27.6,RB,RB-11,
31,Kenneth Walker,SEA,,RB,RB-12,
32,Justin Herbert,LAC,25.4,QB,QB-5,
33,Lamar Jackson,BAL,26.6,QB,QB-6,
34,Mark Andrews,BAL,28.0,TE,TE-2,
35,Jaxon Smith-Njigba,SEA,21.5,WR,WR-15,3.0
36,DK Metcalf,SEA,25.7,WR,WR-16,
37,Tony Pollard,DAL,26.3,RB,RB-13,
38,Derrick Henry,TEN,29.6,RB,RB-14,
39,Rhamondre Stevenson,NE,25.5,RB,RB-15,
40,Drake London,ATL,22.1,WR,WR-17,
41,Kyle Pitts,ATL,22.9,TE,TE-3,
42,Justin Fields,CHI,24.5,QB,QB-7,
43,Deebo Samuel,SF,27.6,WR,WR-18,
44,D'Andre Swift,PHI,24.6,RB,RB-16,
45,Trevor Lawrence,JAC,23.9,QB,QB-8,
46,T.J. Hockenson,MIN,26.1,TE,TE-4,
47,Dameon Pierce,HOU,23.5,RB,RB-17,
48,Quentin Johnston,LAC,21.9,WR,WR-19,4.0
49,Javonte Williams,DEN,23.3,RB,RB-18,
50,Joe Mixon,CIN,27.1,RB,RB-19,
51,Jordan Addison,MIN,21.6,WR,WR-20,5.0
52,Terry McLaurin,WAS,27.9,WR,WR-21,
53,George Kittle,SF,29.9,TE,TE-5,
54,Jerry Jeudy,DEN,24.3,WR,WR-22,
55,J.K. Dobbins,BAL,24.7,RB,RB-20,
56,Christian Watson,GB,24.3,WR,WR-23,
57,DJ Moore,CHI,26.3,WR,WR-24,
58,Calvin Ridley,JAC,28.7,WR,WR-25,
59,Miles Sanders,CAR,26.3,RB,RB-21,
60,Michael Pittman,IND,,WR,WR-26,
61,Aaron Jones,GB,28.7,RB,RB-22,
62,Dallas Goedert,PHI,28.6,TE,TE-6,
63,George Pickens,PIT,22.5,WR,WR-27,
64,Zay Flowers,BAL,22.9,WR,WR-28,6.0
65,Cam Akers,LA,24.2,RB,RB-23,
66,Brandon Aiyuk,SF,25.4,WR,WR-29,
67,Chris Godwin,TB,27.5,WR,WR-30,
68,Anthony Richardson,IND,22.2,QB,QB-9,7.0
69,Isiah Pacheco,KC,24.5,RB,RB-24,
