ADP_Rank,Name,Team,Pos,ADP_Pos_Rnk
1,Justin Jefferson,MIN,WR,WR-1
2,Christian McCaffrey,SF,RB,RB-1
3,Ja'Marr Chase,CIN,WR,WR-2
4,Austin Ekeler,LAC,RB,RB-2
5,Cooper Kupp,LA,WR,WR-3
6,Travis Kelce,KC,TE,TE-1
7,Tyreek Hill,MIA,WR,WR-4
8,Bijan Robinson,ATL,RB,RB-3
8,Saquon Barkley,NYG,RB,RB-3
10,Jonathan Taylor,IND,RB,RB-5
11,Stefon Diggs,BUF,WR,WR-5
12,A.J. Brown,PHI,WR,WR-6
13,CeeDee Lamb,DAL,WR,WR-7
14,Nick Chubb,CLE,RB,RB-6
15,Patrick Mahomes,KC,QB,QB-1
16,Davante Adams,LV,WR,WR-8
17,Amon-Ra St. Brown,DET,WR,WR-9
18,Derrick Henry,TEN,RB,RB-7
19,Garrett Wilson,NYJ,WR,WR-10
20,Josh Jacobs,LV,RB,RB-8
21,Jaylen Waddle,MIA,WR,WR-11
22,Josh Allen,BUF,QB,QB-2
23,Jalen Hurts,PHI,QB,QB-3
24,Tony Pollard,DAL,RB,RB-9
25,Breece Hall,NYJ,RB,RB-10
26,Rhamondre Stevenson,NE,RB,RB-11
27,Mark Andrews,BAL,TE,TE-2
28,Tee Higgins,CIN,WR,WR-12
29,Chris Olave,NO,WR,WR-13
30,Najee Harris,PIT,RB,RB-12
31,DeVonta Smith,PHI,WR,WR-14
32,Travis Etienne,JAC,RB,RB-13
33,DK Metcalf,SEA,WR,WR-15
34,Joe Burrow,CIN,QB,QB-4
35,Kenneth Walker,SEA,RB,RB-14
36,Lamar Jackson,BAL,QB,QB-5
37,Jahmyr Gibbs,DET,RB,RB-15
38,Deebo Samuel,SF,WR,WR-16
39,Keenan Allen,LAC,WR,WR-17
40,Aaron Jones,GB,RB,RB-16
41,Joe Mixon,CIN,RB,RB-17
42,Amari Cooper,CLE,WR,WR-18
43,Calvin Ridley,JAC,WR,WR-19
44,T.J. Hockenson,MIN,TE,TE-3
44,Justin Fields,CHI,QB,QB-6
46,J.K. Dobbins,BAL,RB,RB-18
47,Justin Herbert,LAC,QB,QB-7
48,DeAndre Hopkins,TEN,WR,WR-20
49,Terry McLaurin,WAS,WR,WR-21
50,Miles Sanders,CAR,RB,RB-19
51,Dameon Pierce,HOU,RB,RB-20
52,George Kittle,SF,TE,TE-4
53,DJ Moore,CHI,WR,WR-22
54,Drake London,ATL,WR,WR-23
55,Jerry Jeudy,DEN,WR,WR-24
56,Christian Watson,GB,WR,WR-25
57,Kyle Pitts,ATL,TE,TE-5
58,Chris Godwin,TB,WR,WR-26
59,Cam Akers,LA,RB,RB-21
60,Trevor Lawrence,JAC,QB,QB-8
61,Dalvin Cook,CIN,RB,RB-22
62,James Conner,ARI,RB,RB-23
63,D'Andre Swift,PHI,RB,RB-24
64,Alexander Mattison,MIN,RB,RB-25
65,Dallas Goedert,PHI,TE,TE-6
66,Mike Williams,LAC,WR,WR-27
67,Brandon Aiyuk,SF,WR,WR-28
68,Michael Pittman,IND,WR,WR-29
69,Marquise Brown,ARI,WR,WR-30
70,Tyler Lockett,SEA,WR,WR-31
71,Darren Waller,NYG,TE,TE-7
72,Christian Kirk,JAC,WR,WR-32
73,Javonte Williams,DEN,RB,RB-26
74,Rachaad White,TB,RB,RB-27
75,Mike Evans,TB,WR,WR-33
76,Diontae Johnson,PIT,WR,WR-34
77,Isiah Pacheco,KC,RB,RB-28
78,Alvin Kamara,NO,RB,RB-29
79,David Montgomery,DET,RB,RB-30
80,Jaxon Smith-Njigba,SEA,WR,WR-35
81,Treylon Burks,TEN,WR,WR-36
82,George Pickens,PIT,WR,WR-37
83,Jordan Addison,MIN,WR,WR-38
84,Jahan Dotson,WAS,WR,WR-39
85,Dak Prescott,DAL,QB,QB-9
86,James Cook,BUF,RB,RB-31
87,Deshaun Watson,CLE,QB,QB-10
88,Kadarius Toney,KC,WR,WR-40
89,AJ Dillon,GB,RB,RB-32
90,Evan Engram,JAC,TE,TE-8
91,Antonio Gibson,WAS,RB,RB-33
92,Pat Freiermuth,PIT,TE,TE-9
93,Brandin Cooks,DAL,WR,WR-41
94,Quentin Johnston,LAC,WR,WR-42
95,Tua Tagovailoa,MIA,QB,QB-11
96,David Njoku,CLE,TE,TE-10
97,Gabe Davis,BUF,WR,WR-43
98,Michael Thomas,NO,WR,WR-44
98,Zach Charbonnet,SEA,RB,RB-34
100,Anthony Richardson,IND,QB,QB-12
101,Rashaad Penny,PHI,RB,RB-35
102,Brian Robinson,WAS,RB,RB-36
103,JuJu Smith-Schuster,NE,WR,WR-45
104,Jamaal Williams,NO,RB,RB-37
105,Samaje Perine,DEN,RB,RB-38
106,Zay Flowers,BAL,WR,WR-46
107,Khalil Herbert,CHI,RB,RB-39
108,Courtland Sutton,DEN,WR,WR-47
109,Rashod Bateman,BAL,WR,WR-48
110,Kirk Cousins,MIN,QB,QB-13
111,De'Von Achane,MIA,RB,RB-40
112,Jameson Williams,DET,WR,WR-49
113,Elijah Moore,CLE,WR,WR-50
114,Damien Harris,BUF,RB,RB-41
115,Dalton Schultz,HOU,TE,TE-11
116,Aaron Rodgers,NYJ,QB,QB-14
116,Chigoziem Okonkwo,TEN,TE,TE-12
118,Daniel Jones,NYG,QB,QB-15
119,Geno Smith,SEA,QB,QB-16
120,Dalton Kincaid,BUF,TE,TE-13
121,Allen Lazard,NYJ,WR,WR-51
122,Elijah Mitchell,SF,RB,RB-42
123,Odell Beckham,BAL,WR,WR-52
124,Jerick McKinnon,KC,RB,RB-43
125,Jared Goff,DET,QB,QB-17
126,Cole Kmet,CHI,TE,TE-14
127,Jakobi Meyers,LV,WR,WR-53
128,Adam Thielen,CAR,WR,WR-54
129,Greg Dulcich,DEN,TE,TE-15
130,Tyler Allgeier,ATL,RB,RB-44
131,Kendre Miller,NO,RB,RB-45
132,Tyler Boyd,CIN,WR,WR-55
133,Russell Wilson,DEN,QB,QB-18
134,Devin Singletary,HOU,RB,RB-46
135,Darnell Mooney,CHI,WR,WR-56
136,Skyy Moore,KC,WR,WR-57
137,Jonathan Mingo,CAR,WR,WR-58
138,D'Onta Foreman,CHI,RB,RB-47
139,Tyler Higbee,LA,TE,TE-16
140,Bryce Young,CAR,QB,QB-19
141,Rondale Moore,ARI,WR,WR-59
142,Kyler Murray,ARI,QB,QB-20
143,Raheem Mostert,MIA,RB,RB-48
144,Rashee Rice,KC,WR,WR-60
145,Sam LaPorta,DET,TE,TE-17
146,Ezekiel Elliott,DET,RB,RB-49
147,Gerald Everett,LAC,TE,TE-18
148,Roschon Johnson,CHI,RB,RB-50
149,Tank Bigsby,JAC,RB,RB-51
150,Jaylen Warren,PIT,RB,RB-52
151,Romeo Doubs,GB,WR,WR-61
152,Nico Collins,HOU,WR,WR-62
153,Zay Jones,JAC,WR,WR-63
154,Jordan Love,GB,QB,QB-21
155,Michael Gallup,DAL,WR,WR-64
156,Derek Carr,NO,QB,QB-22
157,Jeff Wilson,MIA,RB,RB-53
158,Juwan Johnson,NO,TE,TE-19
159,Matthew Stafford,LA,QB,QB-23
160,Michael Mayer,LV,TE,TE-20
161,C.J. Stroud,HOU,QB,QB-24
162,Tyjae Spears,TEN,RB,RB-54
163,DJ Chark,CAR,WR,WR-65
164,Rashid Shaheed,NO,WR,WR-66
165,Dawson Knox,BUF,TE,TE-21
166,Taysom Hill,NO,TE,TE-22
167,Irv Smith,CIN,TE,TE-23
168,Jerome Ford,CLE,RB,RB-55
169,Jalin Hyatt,NYG,WR,WR-67
170,Chuba Hubbard,CAR,RB,RB-56
170,Van Jefferson,LA,WR,WR-68
172,Kenny Pickett,PIT,QB,QB-25
173,K.J. Osborn,MIN,WR,WR-69
174,Clyde Edwards-Helaire,KC,RB,RB-57
175,Chase Brown,CIN,RB,RB-58
176,Leonard Fournette,CHI,RB,RB-59
177,Donovan Peoples-Jones,CLE,WR,WR-70
178,Brock Purdy,SF,QB,QB-26
179,Wan'Dale Robinson,NYG,WR,WR-71
180,Alec Pierce,IND,WR,WR-72
181,Jayden Reed,GB,WR,WR-73
182,Tim Patrick,DEN,WR,WR-74
183,Mike Gesicki,NE,TE,TE-24
184,Hunter Renfrow,LV,WR,WR-75
185,John Metchie,HOU,WR,WR-76
186,DeWayne McBride,MIN,RB,RB-60
187,Trey Lance,SF,QB,QB-27
188,Gus Edwards,BAL,RB,RB-61
189,Parris Campbell,NYG,WR,WR-77
190,Trey McBride,ARI,TE,TE-25
191,Marvin Mims,DEN,WR,WR-78
192,Kenneth Gainwell,PHI,RB,RB-62
193,Sam Howell,WAS,QB,QB-28
194,Curtis Samuel,WAS,WR,WR-79
195,Kareem Hunt,PHI,RB,RB-63
196,Zach Ertz,ARI,TE,TE-26
197,Luke Musgrave,GB,TE,TE-27
198,Marquez Valdes-Scantling,KC,WR,WR-80
199,Isaiah Hodgins,NYG,WR,WR-81
200,Zach Evans,LA,RB,RB-64
201,Isaiah Likely,BAL,TE,TE-28
202,Hayden Hurst,CAR,TE,TE-29
203,Josh Downs,IND,WR,WR-82
204,Cordarrelle Patterson,ATL,RB,RB-65
205,Israel Abanikanda,NYJ,RB,RB-66
206,Robert Woods,HOU,WR,WR-83
207,Justin Tucker,BAL,K,K-1
208,San Francisco 49ers,SF,DEF,DEF-1
209,Dallas Cowboys,DAL,DEF,DEF-2
210,Philadelphia Eagles,PHI,DEF,DEF-3
211,Evan McPherson,CIN,K,K-2
212,Buffalo Bills,BUF,DEF,DEF-4
213,Daniel Carlson,LV,K,K-3
214,Harrison Butker,KC,K,K-4
215,New York Jets,NYJ,DEF,DEF-5
216,Miami Dolphins,MIA,DEF,DEF-6
217,New England Patriots,NE,DEF,DEF-7
218,Tyler Bass,BUF,K,K-5
219,Younghoe Koo,ATL,K,K-6
220,Ty Chandler,MIN,RB,RB-67
221,DeVante Parker,NE,WR,WR-84
222,Zamir White,LV,RB,RB-68
223,Ryan Tannehill,TEN,QB,QB-29
224,Puka Nacua,LA,WR,WR-85
225,Desmond Ridder,ATL,QB,QB-30
226,Jelani Woods,IND,TE,TE-30
227,Tyler Conklin,NYJ,TE,TE-31
228,Jimmy Garoppolo,LV,QB,QB-31
229,Tank Dell,HOU,WR,WR-86
230,Pierre Strong,NE,RB,RB-69
231,Cade Otton,TB,TE,TE-32
232,Khalil Shakir,BUF,WR,WR-87
233,Keaontay Ingram,ARI,RB,RB-70
234,Mac Jones,NE,QB,QB-32
235,Michael Carter,NYJ,RB,RB-71
236,Justyn Ross,KC,WR,WR-88
237,Chase Claypool,CHI,WR,WR-89
238,Jake Ferguson,DAL,TE,TE-33
239,Tyquan Thornton,NE,WR,WR-90
240,Deuce Vaughn,DAL,RB,RB-72
241,Noah Fant,SEA,TE,TE-34
242,Mecole Hardman,NYJ,WR,WR-91
243,Darius Slayton,NYG,WR,WR-92
244,Allen Robinson,PIT,WR,WR-93
245,Terrace Marshall,CAR,WR,WR-94
246,Baltimore Ravens,BAL,DEF,DEF-8
247,Seattle Seahawks,SEA,DEF,DEF-9
248,Jason Sanders,MIA,K,K-7
249,Pittsburgh Steelers,PIT,DEF,DEF-10
250,Jason Myers,SEA,K,K-8
251,New Orleans Saints,NO,DEF,DEF-11
252,Brandon McManus,JAC,K,K-9
253,Matt Gay,IND,K,K-10
254,Washington Commanders,WAS,DEF,DEF-12
255,Eric Gray,NYG,RB,RB-73
256,Logan Thomas,WAS,TE,TE-35
257,Malik Davis,DAL,RB,RB-74
258,Sean Tucker,TB,RB,RB-75
259,Baker Mayfield,TB,QB,QB-33
260,Richie James,KC,WR,WR-95
261,Will Levis,TEN,QB,QB-34
